Category,DayOfWeek,Date,Time,X,Y
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Wednesday,1/2/2013,1:37,37.71215555,-122.0810857
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:01,37.70950516,-122.0824481
TOW VEH PKD 72 HR,Wednesday,1/2/2013,0:01,37.70785088,-122.020217
DEATH UNATTENDED / ATTENDED,Wednesday,1/2/2013,0:01,37.70324756,-122.0591197
BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,Wednesday,1/2/2013,1:00,37.68482884,-122.0736161
MISSING PERSON,Wednesday,1/2/2013,1:46,37.69844953,-122.0859223
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:30,37.69583232,-122.086737
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:25,37.68633233,-122.0647777
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:25,37.69814095,-122.0872598
INCIDENT REPORT,Wednesday,1/2/2013,1:25,37.69574895,-122.0867922
TOW ABAND VEH,Wednesday,1/2/2013,2:10,37.70785088,-122.020217
INFORMATIONAL REPORT,Wednesday,1/2/2013,1:46,37.69118536,-122.0868195
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:50,37.69814095,-122.0872598
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,1:50,37.69814095,-122.0872598
REPORT NUMBER WAS CANCELLED,Wednesday,1/2/2013,1:50,37.71846699,-122.0865896
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,2:10,37.69814095,-122.0872598
ROBBERY,Wednesday,1/2/2013,2:19,37.68402082,-122.0637876
THEFT OF PERSONAL PROPERTY,Wednesday,1/2/2013,2:19,37.69248223,-122.0374501
VANDALISM ($400 OR MORE),Wednesday,1/2/2013,2:19,37.6867934,-122.0975186
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Wednesday,1/2/2013,2:10,37.68464137,-122.0992915
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Wednesday,1/2/2013,0:11,37.67498056,-122.1081598
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Wednesday,1/2/2013,2:42,37.67963776,-122.1060385
DUI ALCOHOL/DRUGS,Wednesday,1/2/2013,2:24,37.67498056,-122.1081598
VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,Wednesday,1/2/2013,2:30,37.66746507,-122.1140885
TOW VEH LEFT ON HWY,Wednesday,1/2/2013,2:45,37.66632289,-122.0985476
TASK FORCE REPORT,Wednesday,1/2/2013,2:45,37.67873915,-122.112823
EXHIBIT FIREARM,Wednesday,1/2/2013,2:51,37.69591436,-122.1121567
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Wednesday,1/2/2013,2:51,37.70327293,-122.1142121
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Wednesday,1/2/2013,2:20,37.70034459,-122.1179344
ARREST WARRANT - FEL,Wednesday,1/2/2013,2:00,37.69894967,-122.1065414
MISSING PERSON,Wednesday,1/2/2013,3:00,37.7098909,-122.1229672
EXHIBIT FIREARM,Wednesday,1/2/2013,2:41,37.67780037,-122.1309608
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Wednesday,1/2/2013,2:50,37.67780037,-122.1309608
THEFT OF PERSONAL PROPERTY,Wednesday,1/2/2013,1:00,37.69462258,-122.1243583
VANDALISM:DAMAGE PROPERTY,Wednesday,1/2/2013,1:00,37.69462258,-122.1243583
VANDALISM LESS THAN $400,Wednesday,1/2/2013,2:45,37.67561959,-122.1272266
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Wednesday,1/2/2013,3:00,37.6865737,-122.1168759
DISTURB BY LOUD/UNREASONABLE NOISE,Wednesday,1/2/2013,3:05,37.67561959,-122.1272266
DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,Wednesday,1/2/2013,3:00,37.67561959,-122.1272266
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Wednesday,1/2/2013,3:00,37.67561959,-122.1272266
DOG ATTACK ON ANOTHER ANIMAL,Wednesday,1/2/2013,2:45,37.6941171,-122.1236249
OUTSIDE WARRANT-FEL,Wednesday,1/2/2013,2:55,37.67561959,-122.1272266
72 HOUR MENTAL HEALTH,Wednesday,1/2/2013,2:55,37.67558897,-122.1272256
RAPE:VICTIM INCAPABLE OF GIVING CONSENT,Thursday,1/3/2013,2:45,37.68929538,-122.0842592
SEXUAL PENETRATION W/FOREIGN OBJ:VICTIM INCAPABLE CONSENT,Thursday,1/3/2013,3:50,37.68929538,-122.0842592
BURGLARY,Thursday,1/3/2013,4:14,37.711194,-122.094931
BURGLARY,Thursday,1/3/2013,3:35,37.70460936,-122.0704455
PETTY THEFT,Thursday,1/3/2013,3:30,37.69807215,-122.0784088
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Thursday,1/3/2013,4:45,37.70129376,-122.0989222
RECEIVE/ETC KNOWN STOLEN PROPERTY [$400 OR LESS],Thursday,1/3/2013,4:45,37.69807215,-122.0784088
OUTSIDE WARRANT-MISD,Thursday,1/3/2013,4:45,37.69286442,-122.0832256
72 HOUR MENTAL HEALTH,Thursday,1/3/2013,4:45,37.69814095,-122.0872598
72 HOUR MENTAL HEALTH,Thursday,1/3/2013,4:45,37.69814095,-122.0872598
72 HOUR MENTAL HEALTH,Thursday,1/3/2013,3:30,37.69814095,-122.0872598
MISSING PERSON,Thursday,1/3/2013,5:12,37.71461478,-122.0686724
BURGLARY,Thursday,1/3/2013,3:00,37.68115679,-122.1014749
BURGLARY - VEHICLE,Thursday,1/3/2013,4:45,37.66924033,-122.0972546
BURGLARY - VEHICLE,Thursday,1/3/2013,5:30,37.67473614,-122.1131142
POSSESS CONTROLLED SUBSTANCE,Thursday,1/3/2013,5:05,37.67013005,-122.0917702
POSSESS CONTROLLED SUBSTANCE FOR SALE,Thursday,1/3/2013,5:05,37.67013005,-122.0917702
ARREST WARRANT - MISD,Thursday,1/3/2013,6:00,37.67013005,-122.0917702
BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,Thursday,1/3/2013,6:00,37.68669362,-122.1142482
72 HOUR MENTAL HEALTH,Thursday,1/3/2013,6:00,37.68736693,-122.1098767
LOST PROPERTY,Thursday,1/3/2013,6:15,37.68195551,-122.0959747
INCIDENT REPORT,Thursday,1/3/2013,5:00,37.80185735,-122.262405
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Thursday,1/3/2013,2:45,37.69509341,-122.109862
RUNAWAY,Thursday,1/3/2013,2:45,37.70479271,-122.1221585
72 HOUR MENTAL HEALTH,Thursday,1/3/2013,2:45,37.70520203,-122.1132046
INCIDENT REPORT,Thursday,1/3/2013,6:55,37.71074731,-122.1233879
INCIDENT REPORT,Thursday,1/3/2013,6:55,37.7098909,-122.1229672
OUTSIDE WARRANT-MISD,Thursday,1/3/2013,6:55,37.69394181,-122.1021694
RECOVERED STOLEN AUTO - OUTSIDE AGENCY,Thursday,1/3/2013,3:30,37.69394181,-122.1021694
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Thursday,1/3/2013,7:46,37.67865942,-122.1192469
THEFT OF PERSONAL PROPERTY,Thursday,1/3/2013,7:40,37.68042739,-122.1194039
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Thursday,1/3/2013,7:40,37.68930959,-122.1300686
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Thursday,1/3/2013,7:55,37.67369966,-122.137741
POSSESS CONTROLLED SUBSTANCE,Thursday,1/3/2013,8:25,37.6817966,-122.1283209
POSSESS CONCENTRATED CANNABIS,Thursday,1/3/2013,8:25,37.69315231,-122.1207694
POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Thursday,1/3/2013,8:25,37.6948221,-122.1246478
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Thursday,1/3/2013,7:30,37.67865942,-122.1192469
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Thursday,1/3/2013,7:30,37.69295633,-122.1122859
POSSESS/ETC BURGLARY TOOLS,Thursday,1/3/2013,8:42,37.6948221,-122.1246478
VIOLATION OF PROBATION MISDEMEANOR,Thursday,1/3/2013,6:00,37.6948221,-122.1246478
DEATH UNATTENDED / ATTENDED,Thursday,1/3/2013,8:50,37.66864999,-122.1442909
TOW VEH PKD 72 HR,Thursday,1/3/2013,9:20,37.69684311,-122.1221299
TOW ABAND VEH,Thursday,1/3/2013,2:30,37.69684311,-122.1221299
ARREST WARRANT - MISD,Thursday,1/3/2013,8:30,37.66871367,-122.1586472
RECOVERED STOLEN AUTO - OUTSIDE AGENCY,Thursday,1/3/2013,9:04,37.6948221,-122.1246478
FALSE IMPRISONMENT W/VIOLENCE/ETC,Friday,1/4/2013,0:30,37.68524501,-122.0715208
ROBBERY,Friday,1/4/2013,10:12,37.69273416,-122.0820661
INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Friday,1/4/2013,10:10,37.68524501,-122.0715208
BURGLARY - VEHICLE,Friday,1/4/2013,10:45,37.70460664,-122.0708798
PETTY THEFT,Friday,1/4/2013,2:00,37.69676656,-122.0764264
POSSESS CONTROLLED SUBSTANCES WITHOUT A PRESCRIPTION,Friday,1/4/2013,11:04,37.69676656,-122.0764264
SELL/ETC LIQUOR TO MINOR,Friday,1/4/2013,11:20,37.69227323,-122.073919
SELL/ETC LIQUOR TO MINOR,Friday,1/4/2013,2:00,37.69528961,-122.0725913
SELL/ETC LIQUOR TO MINOR,Friday,1/4/2013,11:40,37.69395713,-122.0870365
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Friday,1/4/2013,0:01,37.70916074,-122.0463037
BEYOND PARENTAL CONTROL/ETC,Friday,1/4/2013,0:41,37.69766382,-122.0910943
72 HOUR MENTAL HEALTH,Friday,1/4/2013,12:53,37.68601888,-122.0824418
72 HOUR MENTAL HEALTH,Friday,1/4/2013,13:09,37.68993309,-122.0885747
INCIDENT REPORT,Friday,1/4/2013,12:25,37.69504666,-122.0921559
BITING OR ATTACKING (HUMANS),Friday,1/4/2013,1:30,37.69851005,-122.0775681
72 HOUR MENTAL HEALTH,Friday,1/4/2013,0:30,37.69814095,-122.0872598
BENCH WARRANT/FAILURE TO APPEAR ON FELONY CHARGE,Friday,1/4/2013,13:35,37.69676656,-122.0764264
BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,Friday,1/4/2013,13:38,37.69676656,-122.0764264
EOD CALL OUT,Friday,1/4/2013,13:50,37.5376751,-121.9972849
SHOOT AT INHABITED DWELLING/VEHICLE/ETC,Friday,1/4/2013,13:50,37.68087319,-122.0632401
BURGLARY,Friday,1/4/2013,13:23,37.67998197,-122.0953527
BURGLARY - SHOPLIFTING,Friday,1/4/2013,13:40,37.66616814,-122.1101204
BURGLARY - VEHICLE,Friday,1/4/2013,13:40,37.66742157,-122.1073669
PETTY THEFT,Friday,1/4/2013,13:40,37.66616814,-122.1101204
PETTY THEFT,Friday,1/4/2013,11:15,37.69130214,-122.0457545
FALSE IDENTIFICATION TO SPECIFIC PEACE OFFICERS,Friday,1/4/2013,13:05,37.66616814,-122.1101204
POSSESS NARCOTIC CONTROLLED SUBSTANCE,Friday,1/4/2013,14:27,37.66616814,-122.1101204
POSSESS MARIJUANA OVER 28.5 GRAMS,Friday,1/4/2013,13:00,37.68402082,-122.0637876
RUNAWAY,Friday,1/4/2013,12:38,37.68182314,-122.1124258
POSSESS/ETC BURGLARY TOOLS,Friday,1/4/2013,1:00,37.67998197,-122.0953527
OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Friday,1/4/2013,1:00,37.66616814,-122.1101204
CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,Friday,1/4/2013,1:53,37.6851137,-122.0461974
OUTSIDE AGENCY ASSIST,Friday,1/4/2013,15:07,37.66632289,-122.0985476
BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,Friday,1/4/2013,0:30,37.68402082,-122.0637876
BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,Friday,1/4/2013,15:23,37.67998197,-122.0953527
BENCH WARRANT/FAILURE TO APPEAR ON FELONY CHARGE,Friday,1/4/2013,15:48,37.66616814,-122.1101204
72 HOUR MENTAL HEALTH,Friday,1/4/2013,15:48,37.68585265,-122.0547709
BATTERY ON PERSON,Friday,1/4/2013,15:45,37.69037347,-122.1074684
BURGLARY - VEHICLE,Friday,1/4/2013,10:00,37.7034188,-122.1212251
POSSESS NARCOTIC CONTROLLED SUBSTANCE,Friday,1/4/2013,16:09,37.67158772,-122.0848847
POSSESS CONTROLLED SUBSTANCE,Friday,1/4/2013,16:09,37.67158772,-122.0848847
LOITER:INTENT:PROSTITUTION,Friday,1/4/2013,16:11,37.69281342,-122.1011197
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Friday,1/4/2013,16:15,37.70055365,-122.1080342
RUNAWAY,Friday,1/4/2013,16:15,37.70330731,-122.1173857
VIOLATION OF PROBATION FELONY,Friday,1/4/2013,16:15,37.67158772,-122.0848847
CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,Friday,1/4/2013,16:15,37.70147783,-122.1166781
MISSING PERSON,Friday,1/4/2013,16:05,37.70858622,-122.1213014
REPORT NUMBER WAS CANCELLED,Friday,1/4/2013,15:30,37.70858622,-122.1213014
BURGLARY,Friday,1/4/2013,16:33,37.6761129,-122.1397997
BURGLARY,Friday,1/4/2013,16:33,37.68004882,-122.1180981
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Friday,1/4/2013,17:10,37.69313089,-122.116203
VANDALISM LESS THAN $400,Friday,1/4/2013,17:10,37.69565081,-122.118887
VANDALISM LESS THAN $400,Friday,1/4/2013,17:20,37.68443503,-122.1213764
POSSESS IN VEHICLE/CARRY/TRANSFER SWITCHBLADE KNIFE,Friday,1/4/2013,17:08,37.68670177,-122.1219971
TOW VEH OVERDUE REG,Friday,1/4/2013,2:00,37.67180614,-122.1536346
TOW ABAND VEH,Friday,1/4/2013,17:00,37.67180614,-122.1536346
POSSESS CONTROLLED SUBSTANCE,Friday,1/4/2013,17:48,37.69604266,-122.0557097
POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Friday,1/4/2013,17:35,37.69604266,-122.0557097
BURGLARY - VEHICLE,Saturday,1/5/2013,17:40,37.7153516,-122.0500517
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Saturday,1/5/2013,17:40,37.68669272,-122.0727611
VANDALISM:DAMAGE PROPERTY,Saturday,1/5/2013,17:25,37.70577954,-122.0656686
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,17:25,37.68805606,-122.0626441
DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,18:01,37.69873112,-122.0860061
72 HOUR MENTAL HEALTH,Saturday,1/5/2013,11:13,37.70188135,-122.1299668
INCIDENT REPORT,Saturday,1/5/2013,18:07,37.70170777,-122.0823751
INCIDENT REPORT,Saturday,1/5/2013,18:07,37.695809,-122.0711466
MISSING PERSON,Saturday,1/5/2013,18:07,37.70809963,-122.0739982
DEATH UNATTENDED / ATTENDED,Saturday,1/5/2013,18:07,37.68979147,-122.0621879
BURGLARY - VEHICLE,Saturday,1/5/2013,18:07,37.68935027,-122.034852
GET CREDIT/ETC OTHERS ID,Saturday,1/5/2013,18:21,37.68751952,-122.108932
VANDALISM:DAMAGE PROPERTY,Saturday,1/5/2013,17:51,37.67972008,-122.1113657
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,14:30,37.66723763,-122.1072521
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,18:35,37.67818675,-122.1113673
72 HOUR MENTAL HEALTH,Saturday,1/5/2013,18:35,37.68312847,-122.0974228
BURGLARY - VEHICLE,Saturday,1/5/2013,18:35,37.69926406,-122.1102084
BURGLARY - VEHICLE,Saturday,1/5/2013,18:32,37.70327293,-122.1142121
PETTY THEFT,Saturday,1/5/2013,18:59,37.71180389,-122.1248987
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Saturday,1/5/2013,18:59,37.6990352,-122.102137
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,14:00,37.69649152,-122.1114547
DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,Saturday,1/5/2013,18:11,37.70197966,-122.1098483
VANDALISM:DEFACE PROPERTY,Saturday,1/5/2013,18:50,37.68668024,-122.1190476
POSSESS IN VEHICLE/CARRY/TRANSFER SWITCHBLADE KNIFE,Saturday,1/5/2013,3:00,37.68668024,-122.1190476
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,18:50,37.6912773,-122.1112562
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Saturday,1/5/2013,19:30,37.67992574,-122.1376176
"LOST,STOLEN LICENSE PLATE",Saturday,1/5/2013,19:30,37.68478856,-122.1229822
FORGERY,Sunday,1/6/2013,7:15,37.70852211,-122.0779536
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Sunday,1/6/2013,18:30,37.68849117,-122.0955591
DUI ALCOHOL/DRUGS,Sunday,1/6/2013,19:00,37.68849117,-122.0955591
DISORDERLY CONDUCT:ALCOHOL,Sunday,1/6/2013,19:15,37.68849117,-122.0955591
OUTSIDE AGENCY ASSIST,Sunday,1/6/2013,18:30,37.69545848,-122.0519013
TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,Sunday,1/6/2013,4:30,37.66795123,-122.1144342
VANDALISM LESS THAN $400,Sunday,1/6/2013,19:23,37.68115679,-122.1014749
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,Sunday,1/6/2013,2:00,37.67962386,-122.1126291
POSSESS CONTROLLED SUBSTANCE,Sunday,1/6/2013,20:22,37.66655037,-122.1000061
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Sunday,1/6/2013,20:12,37.68153748,-122.0954579
INCIDENT REPORT,Sunday,1/6/2013,20:12,37.68683357,-122.0395734
72 HOUR MENTAL HEALTH,Sunday,1/6/2013,20:12,37.64981706,-121.654224
BURGLARY - VEHICLE,Sunday,1/6/2013,19:35,37.69857642,-122.1156158
BURGLARY - VEHICLE,Sunday,1/6/2013,19:35,37.69477144,-122.1136059
GRAND THEFT - FROM MOTOR VEHICLE,Sunday,1/6/2013,19:35,37.6954767,-122.1092817
BURGLARY - VEHICLE,Sunday,1/6/2013,19:45,37.70444768,-122.1197567
POSSESS CONTROLLED SUBSTANCE,Sunday,1/6/2013,19:45,37.70055365,-122.1080342
POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Sunday,1/6/2013,19:45,37.70055365,-122.1080342
DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Sunday,1/6/2013,19:43,37.70236308,-122.1104881
72 HOUR MENTAL HEALTH,Sunday,1/6/2013,19:43,37.69984046,-122.117149
"LOST,STOLEN LICENSE PLATE",Sunday,1/6/2013,19:43,37.70269521,-122.124259
72 HOUR MENTAL HEALTH,Sunday,1/6/2013,3:00,37.70320979,-122.1190838
72 HOUR MENTAL HEALTH,Sunday,1/6/2013,19:00,37.70690695,-122.11476
BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,Sunday,1/6/2013,17:00,37.67473015,-122.1250921
