Date,PdDistrict,X,Y
1/1/13,NORTHERN,-122.4210119,37.78382269
1/1/13,CENTRAL,-122.4065923,37.7875673
1/1/13,PARK,-122.4520832,37.77320728
1/1/13,PARK,-122.4536686,37.76913565
1/1/13,PARK,-122.4536686,37.76913565
1/1/13,PARK,-122.4536686,37.76913565
1/1/13,SOUTHERN,-122.4159936,37.7777783
1/1/13,SOUTHERN,-122.4020277,37.78624835
1/1/13,SOUTHERN,-122.406482,37.78273179
1/1/13,INGLESIDE,-122.4121414,37.77221806
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,MISSION,-122.4347232,37.76093856
1/1/13,MISSION,-122.4218657,37.7642507
1/1/13,SOUTHERN,-122.406482,37.78273179
1/1/13,SOUTHERN,-122.425569,37.77023382
1/1/13,SOUTHERN,-122.4006289,37.78519866
1/1/13,SOUTHERN,-122.4065365,37.77928791
1/1/13,BAYVIEW,-122.3909717,37.73401522
1/1/13,BAYVIEW,-122.3909717,37.73401522
1/1/13,SOUTHERN,-122.4127923,37.77474277
1/1/13,SOUTHERN,-122.4047526,37.7672562
1/1/13,TENDERLOIN,-122.412295,37.78221065
1/1/13,TENDERLOIN,-122.412295,37.78221065
1/1/13,PARK,-122.4535735,37.76914736
1/1/13,TENDERLOIN,-122.4153332,37.78156521
1/1/13,TENDERLOIN,-122.4153332,37.78156521
1/1/13,SOUTHERN,-122.408163,37.78053454
1/1/13,BAYVIEW,-122.392779,37.73503827
1/1/13,SOUTHERN,-122.4102935,37.78223059
1/1/13,SOUTHERN,-122.4011616,37.78202385
1/1/13,SOUTHERN,-122.4147143,37.77623104
1/1/13,SOUTHERN,-122.4147143,37.77623104
1/1/13,SOUTHERN,-122.4096964,37.78175406
1/1/13,SOUTHERN,-122.4096964,37.78175406
1/1/13,CENTRAL,-122.4179312,37.80222148
1/1/13,BAYVIEW,-122.4036446,37.76601601
1/1/13,SOUTHERN,-122.3937642,37.78656914
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,PARK,-122.4385348,37.7793251
1/1/13,CENTRAL,-122.4050256,37.78971288
1/1/13,MISSION,-122.4206738,37.7699835
1/1/13,MISSION,-122.4206738,37.7699835
1/1/13,RICHMOND,-122.4585322,37.775981
1/1/13,RICHMOND,-122.4585322,37.775981
1/1/13,MISSION,-122.4053332,37.75306449
1/1/13,SOUTHERN,-122.3950026,37.77705677
1/1/13,INGLESIDE,-122.4196168,37.74608681
1/1/13,INGLESIDE,-122.4196168,37.74608681
1/1/13,INGLESIDE,-122.4196168,37.74608681
1/1/13,INGLESIDE,-122.4196168,37.74608681
1/1/13,INGLESIDE,-122.4196168,37.74608681
1/1/13,BAYVIEW,-122.3834339,37.72973814
1/1/13,SOUTHERN,-122.3934133,37.79061172
1/1/13,INGLESIDE,-122.4318674,37.71585746
1/1/13,NORTHERN,-122.4216903,37.78848751
1/1/13,NORTHERN,-122.4216903,37.78848751
1/1/13,NORTHERN,-122.4216903,37.78848751
1/1/13,PARK,-122.4314349,37.76761386
1/1/13,MISSION,-122.4220459,37.76653872
1/1/13,MISSION,-122.4220459,37.76653872
1/1/13,BAYVIEW,-122.3792053,37.7351365
1/1/13,PARK,-122.4447951,37.75268597
1/1/13,SOUTHERN,-122.3922867,37.7884907
1/1/13,SOUTHERN,-122.4058983,37.77823508
1/1/13,TARAVAL,-122.5047524,37.74364123
1/1/13,CENTRAL,-122.415552,37.79865011
1/1/13,CENTRAL,-122.415552,37.79865011
1/1/13,NORTHERN,-122.42789,37.80091106
1/1/13,SOUTHERN,-122.3933572,37.77578762
1/1/13,SOUTHERN,-122.406482,37.78273179
1/1/13,NORTHERN,-122.4201708,37.78779635
1/1/13,CENTRAL,-122.3967875,37.79854026
1/1/13,INGLESIDE,-122.4312163,37.73595462
1/1/13,CENTRAL,-122.3967749,37.79543121
1/1/13,MISSION,-122.4062106,37.75176039
1/1/13,PARK,-122.4357186,37.76868871
1/1/13,PARK,-122.4637836,37.75853562
1/1/13,PARK,-122.4637836,37.75853562
1/1/13,PARK,-122.4637836,37.75853562
1/1/13,SOUTHERN,-122.4030741,37.7870172
1/1/13,SOUTHERN,-122.4030741,37.7870172
1/1/13,SOUTHERN,-122.4030741,37.7870172
1/1/13,BAYVIEW,-122.4009865,37.75728801
1/1/13,BAYVIEW,-122.4009865,37.75728801
1/1/13,BAYVIEW,-122.4009865,37.75728801
1/1/13,MISSION,-122.4268931,37.76916184
1/1/13,SOUTHERN,-122.3982416,37.77456455
1/1/13,SOUTHERN,-122.3982416,37.77456455
1/1/13,NORTHERN,-122.4175514,37.77654109
1/1/13,INGLESIDE,-122.4449479,37.72249249
1/1/13,PARK,-122.4478233,37.76607162
1/1/13,BAYVIEW,-122.3845608,37.72852992
1/1/13,CENTRAL,-122.4150551,37.80448018
1/1/13,CENTRAL,-122.3967749,37.79543121
1/1/13,SOUTHERN,-122.4062823,37.78534492
1/1/13,RICHMOND,-122.4886722,37.77574517
1/1/13,NORTHERN,-122.4300477,37.77792718
1/1/13,TARAVAL,-122.5057397,37.74300949
1/1/13,BAYVIEW,-122.4026421,37.7338012
1/1/13,BAYVIEW,-122.4026421,37.7338012
1/1/13,BAYVIEW,-122.4026421,37.7338012
1/1/13,TENDERLOIN,-122.4127841,37.78486569
1/1/13,TENDERLOIN,-122.4127841,37.78486569
1/1/13,CENTRAL,-122.4167836,37.80492097
1/1/13,MISSION,-122.4217338,37.76329969
1/1/13,SOUTHERN,-122.3925038,37.79376877
1/1/13,PARK,-122.4474977,37.77279051
1/1/13,PARK,-122.4474977,37.77279051
1/1/13,RICHMOND,-122.4425703,37.78391611
1/1/13,RICHMOND,-122.4425703,37.78391611
1/1/13,MISSION,-122.4195132,37.76198063
1/1/13,CENTRAL,-122.409017,37.79948807
1/1/13,TENDERLOIN,-122.4155082,37.78165428
1/1/13,CENTRAL,-122.4074342,37.78749444
1/1/13,TENDERLOIN,-122.4129705,37.78578838
1/1/13,TENDERLOIN,-122.4129705,37.78578838
1/1/13,BAYVIEW,-122.3910903,37.73690857
1/1/13,PARK,-122.4426855,37.75273487
1/1/13,BAYVIEW,-122.38076,37.73564297
1/1/13,PARK,-122.4439569,37.771737
1/1/13,CENTRAL,-122.4186583,37.78890984
1/1/13,CENTRAL,-122.4186583,37.78890984
1/2/13,TARAVAL,-122.4874748,37.74253021
1/2/13,TARAVAL,-122.4874748,37.74253021
1/1/13,BAYVIEW,-122.397999,37.71132091
1/2/13,BAYVIEW,-122.3911647,37.73038096
1/2/13,NORTHERN,-122.4284279,37.77045048
1/2/13,NORTHERN,-122.418961,37.78698359
1/2/13,NORTHERN,-122.418961,37.78698359
1/1/13,INGLESIDE,-122.443894,37.73223967
1/1/13,INGLESIDE,-122.443894,37.73223967
1/2/13,BAYVIEW,-122.388801,37.72886741
1/2/13,TENDERLOIN,-122.4141023,37.78323583
1/2/13,MISSION,-122.4189082,37.76506354
1/2/13,INGLESIDE,-122.4004283,37.71638002
1/1/13,BAYVIEW,-122.4033214,37.74868094
1/2/13,INGLESIDE,-122.4333869,37.72977503
1/2/13,INGLESIDE,-122.4284394,37.72427651
1/2/13,SOUTHERN,-122.408626,37.78085589
1/2/13,SOUTHERN,-122.408626,37.78085589
1/2/13,CENTRAL,-122.4096347,37.79008487
1/2/13,RICHMOND,-122.4750913,37.78623474
1/2/13,MISSION,-122.4196309,37.76506493
1/2/13,CENTRAL,-122.4120825,37.79164109
1/2/13,TENDERLOIN,-122.4098264,37.78328614
1/2/13,TENDERLOIN,-122.4098264,37.78328614
1/2/13,CENTRAL,-122.4039639,37.78978032
1/2/13,CENTRAL,-122.4039639,37.78978032
1/1/13,RICHMOND,-122.5005482,37.77170971
1/1/13,RICHMOND,-122.5005482,37.77170971
1/1/13,RICHMOND,-122.5005482,37.77170971
1/2/13,CENTRAL,-122.4096356,37.79850446
1/2/13,RICHMOND,-122.477309,37.78334936
1/2/13,BAYVIEW,-122.4062775,37.74171969
1/2/13,TARAVAL,-122.5032765,37.75302162
1/2/13,PARK,-122.4488407,37.77083326
1/1/13,BAYVIEW,-122.3985863,37.76229338
1/1/13,RICHMOND,-122.4431193,37.78431052
1/2/13,MISSION,-122.4174972,37.76483652
1/2/13,NORTHERN,-122.4181824,37.78656623
1/2/13,PARK,-122.4534759,37.77024073
1/2/13,CENTRAL,-122.4102654,37.79741867
1/1/13,RICHMOND,-122.4548503,37.77565079
1/1/13,RICHMOND,-122.4548503,37.77565079
1/1/13,INGLESIDE,-122.4224529,37.73487693
1/1/13,INGLESIDE,-122.4024556,37.71402258
1/1/13,RICHMOND,-122.4741264,37.78247457
1/2/13,PARK,-122.4420083,37.77441841
1/2/13,CENTRAL,-122.4181738,37.80316734
1/1/13,SOUTHERN,-122.403743,37.7752317
1/1/13,SOUTHERN,-122.403743,37.7752317
1/2/13,BAYVIEW,-122.3925722,37.72182929
1/2/13,NORTHERN,-122.4302537,37.7797461
1/2/13,SOUTHERN,-122.4119839,37.78094765
1/1/13,NORTHERN,-122.4252596,37.77175094
1/2/13,RICHMOND,-122.4555405,37.78146392
1/2/13,NORTHERN,-122.4179993,37.78564075
1/2/13,SOUTHERN,-122.4036752,37.77517751
1/2/13,NORTHERN,-122.4345637,37.78415049
1/2/13,MISSION,-122.4196718,37.76505012
1/2/13,BAYVIEW,-122.4056103,37.73243886
1/2/13,BAYVIEW,-122.4056103,37.73243886
1/2/13,MISSION,-122.4196718,37.76505012
1/2/13,MISSION,-122.4196718,37.76505012
1/2/13,MISSION,-122.4196718,37.76505012
1/2/13,NORTHERN,-122.4354343,37.80080927
1/2/13,CENTRAL,-122.4153718,37.78952435
1/2/13,CENTRAL,-122.4057258,37.79795208
1/2/13,RICHMOND,-122.4393105,37.79097003
1/2/13,NORTHERN,-122.432635,37.77951113
1/1/13,TARAVAL,-122.4790917,37.71994204
1/1/13,TARAVAL,-122.4816649,37.73827723
1/1/13,SOUTHERN,-122.4090305,37.77764202
1/2/13,BAYVIEW,-122.402868,37.74947839
1/1/13,MISSION,-122.4420701,37.75850023
1/2/13,MISSION,-122.4227673,37.75508281
1/1/13,TARAVAL,-122.4737062,37.71548761
1/1/13,SOUTHERN,-122.4118101,37.77310848
1/1/13,SOUTHERN,-122.4118101,37.77310848
1/2/13,NORTHERN,-122.4247385,37.78720337
1/1/13,SOUTHERN,-122.403743,37.7752317
1/2/13,SOUTHERN,-122.4147143,37.77623104
1/2/13,BAYVIEW,-122.3882695,37.7205144
1/2/13,SOUTHERN,-122.421984,37.77305265
1/2/13,NORTHERN,-122.4211952,37.78475366
1/2/13,TENDERLOIN,-122.4075678,37.78650244
1/2/13,MISSION,-122.4189439,37.75700955
1/1/13,TARAVAL,-122.4635772,37.71740582
1/2/13,BAYVIEW,-122.3961496,37.71882065
1/2/13,BAYVIEW,-122.3961496,37.71882065
1/2/13,BAYVIEW,-122.3961496,37.71882065
1/2/13,BAYVIEW,-122.3961496,37.71882065
1/2/13,TENDERLOIN,-122.4168761,37.78246914
1/1/13,RICHMOND,-122.5019305,37.77539263
1/2/13,TENDERLOIN,-122.4144317,37.78462391
1/2/13,MISSION,-122.4244637,37.76895157
1/2/13,SOUTHERN,-122.4092097,37.78141594
1/2/13,INGLESIDE,-122.4385475,37.71834821
1/2/13,INGLESIDE,-122.4385475,37.71834821
1/2/13,SOUTHERN,-122.3922414,37.77910157
1/2/13,SOUTHERN,-122.3922414,37.77910157
1/2/13,SOUTHERN,-122.3922414,37.77910157
1/2/13,BAYVIEW,-122.3882652,37.74184205
1/2/13,SOUTHERN,-122.4080518,37.78395746
1/2/13,INGLESIDE,-122.4477141,37.72117851
1/2/13,CENTRAL,-122.4144127,37.78947595
1/1/13,NORTHERN,-122.4222934,37.78641198
1/1/13,CENTRAL,-122.418925,37.79788073
1/2/13,SOUTHERN,-122.4028843,37.78296757
1/2/13,MISSION,-122.4260405,37.7606092
1/2/13,NORTHERN,-122.4183796,37.7832363
1/2/13,SOUTHERN,-122.4102935,37.78223059
1/2/13,MISSION,-122.4208866,37.74806619
1/3/13,MISSION,-122.4196718,37.76505012
1/2/13,INGLESIDE,-122.4279717,37.7321382
1/2/13,MISSION,-122.4220513,37.76616079
1/1/13,NORTHERN,-122.4317655,37.77863111
1/1/13,BAYVIEW,-122.3919618,37.73642594
1/1/13,BAYVIEW,-122.3919618,37.73642594
1/2/13,BAYVIEW,-122.3993827,37.73019084
1/2/13,BAYVIEW,-122.3993827,37.73019084
1/2/13,TENDERLOIN,-122.4123106,37.78495956
1/2/13,MISSION,-122.4156163,37.76853601
1/2/13,SOUTHERN,-122.4048205,37.77908902
1/2/13,SOUTHERN,-122.4048205,37.77908902
1/2/13,SOUTHERN,-122.4119839,37.78094765
1/2/13,SOUTHERN,-122.4119839,37.78094765
1/2/13,TENDERLOIN,-122.4075678,37.78650244
1/2/13,TENDERLOIN,-122.4075678,37.78650244
1/2/13,INGLESIDE,-122.4466072,37.72072313
1/2/13,TENDERLOIN,-122.4075917,37.78441022
1/1/13,BAYVIEW,-122.4070587,37.72539977
1/2/13,NORTHERN,-122.4250296,37.7770661
1/2/13,NORTHERN,-122.4250296,37.7770661
1/2/13,NORTHERN,-122.4250296,37.7770661
1/1/13,MISSION,-122.4261364,37.76060319
1/2/13,INGLESIDE,-122.4213022,37.74043832
1/2/13,INGLESIDE,-122.4213022,37.74043832
1/2/13,MISSION,-122.4198664,37.75736402
1/2/13,SOUTHERN,-122.403743,37.7752317
1/2/13,PARK,-122.4504027,37.76945427
1/2/13,NORTHERN,-122.4323301,37.8051544
1/2/13,NORTHERN,-122.4323301,37.8051544
1/2/13,NORTHERN,-122.4323301,37.8051544
1/2/13,INGLESIDE,-122.433583,37.71764111
1/2/13,INGLESIDE,-122.433583,37.71764111
1/2/13,CENTRAL,-122.4175014,37.79737175
1/2/13,CENTRAL,-122.4175014,37.79737175
1/2/13,INGLESIDE,-122.4293067,37.73074292
1/2/13,CENTRAL,-122.4082871,37.789298
1/2/13,SOUTHERN,-122.3963542,37.78107431
1/2/13,INGLESIDE,-122.4202789,37.71089308
1/2/13,CENTRAL,-122.4114082,37.79451265
1/2/13,CENTRAL,-122.4114082,37.79451265
1/2/13,NORTHERN,-122.4237322,37.78061115
1/1/13,BAYVIEW,-122.3964065,37.76130088
1/2/13,TENDERLOIN,-122.4078542,37.7854922
1/2/13,INGLESIDE,-122.4360131,37.71566182
1/2/13,NORTHERN,-122.4191868,37.78790856
1/2/13,INGLESIDE,-122.4216071,37.74301148
1/2/13,SOUTHERN,-122.403743,37.7752317
1/1/13,CENTRAL,-122.4071626,37.79824924
1/2/13,BAYVIEW,-122.3814417,37.7316221
1/2/13,BAYVIEW,-122.3814417,37.7316221
1/2/13,PARK,-122.4450059,37.75167214
1/2/13,TENDERLOIN,-122.4124184,37.78208198
1/2/13,SOUTHERN,-122.3927892,37.77754973
1/1/13,RICHMOND,-122.4434654,37.78690035
1/2/13,MISSION,-122.4193604,37.7618358
1/2/13,TENDERLOIN,-122.4122242,37.78207293
1/2/13,TENDERLOIN,-122.4122242,37.78207293
1/2/13,CENTRAL,-122.4102934,37.80613859
1/2/13,CENTRAL,-122.4102934,37.80613859
1/2/13,CENTRAL,-122.4102934,37.80613859
1/2/13,TARAVAL,-122.4760116,37.72909101
1/2/13,TARAVAL,-122.4760116,37.72909101
1/2/13,TARAVAL,-122.4760116,37.72909101
1/1/13,PARK,-122.4445869,37.7673857
1/2/13,SOUTHERN,-122.4059343,37.78229564
1/2/13,BAYVIEW,-122.4046915,37.73016824
1/2/13,BAYVIEW,-122.4046915,37.73016824
1/2/13,BAYVIEW,-122.4046915,37.73016824
1/2/13,TARAVAL,-122.4767039,37.74032408
1/2/13,PARK,-122.4583077,37.74504714
1/2/13,TENDERLOIN,-122.4122242,37.78207293
1/2/13,TENDERLOIN,-122.4141411,37.78466059
1/2/13,TENDERLOIN,-122.4141411,37.78466059
1/2/13,TENDERLOIN,-122.4141411,37.78466059
1/2/13,MISSION,-122.4268931,37.76916184
1/2/13,CENTRAL,-122.4134332,37.80468505
1/2/13,BAYVIEW,-122.391269,37.73985314
1/2/13,SOUTHERN,-122.4038902,37.78462377
1/2/13,SOUTHERN,-122.4038902,37.78462377
1/2/13,SOUTHERN,-122.4042702,37.78447885
1/2/13,SOUTHERN,-122.4042702,37.78447885
1/2/13,SOUTHERN,-122.4119795,37.78090397
1/2/13,SOUTHERN,-122.4069894,37.77001344
1/2/13,TENDERLOIN,-122.4103035,37.78326685
1/2/13,NORTHERN,-122.4291142,37.79801133
1/2/13,MISSION,-122.4131076,37.76544802
1/2/13,BAYVIEW,-122.390417,37.73559261
1/2/13,RICHMOND,-122.4560549,37.77679785
1/2/13,NORTHERN,-122.4476844,37.80076213
1/1/13,CENTRAL,-122.4168904,37.80541475
1/2/13,NORTHERN,-122.4191682,37.78324188
1/2/13,BAYVIEW,-122.3926255,37.72928044
1/2/13,INGLESIDE,-122.415963,37.70899615
1/2/13,INGLESIDE,-122.415963,37.70899615
1/2/13,SOUTHERN,-122.397338,37.77784611
1/2/13,NORTHERN,-122.4162938,37.77749368
1/2/13,NORTHERN,-122.4162938,37.77749368
1/2/13,RICHMOND,-122.4566988,37.78603187
1/2/13,MISSION,-122.4192737,37.76047776
1/2/13,MISSION,-122.4192737,37.76047776
1/2/13,MISSION,-122.4192737,37.76047776
1/2/13,BAYVIEW,-122.3912456,37.7332252
1/2/13,MISSION,-122.4231807,37.75516992
1/2/13,CENTRAL,-122.3967737,37.79546641
1/2/13,RICHMOND,-122.4683506,37.77977234
1/2/13,BAYVIEW,-122.3835575,37.73671074
1/2/13,SOUTHERN,-122.4121308,37.78073625
1/1/13,BAYVIEW,-122.3885003,37.72775382
1/1/13,BAYVIEW,-122.3885003,37.72775382
1/2/13,TARAVAL,-122.4859865,37.75194994
1/2/13,CENTRAL,-122.4070856,37.79815137
1/2/13,CENTRAL,-122.4070856,37.79815137
1/2/13,MISSION,-122.4178312,37.75875338
1/2/13,CENTRAL,-122.4156526,37.80834267
1/2/13,NORTHERN,-122.4199301,37.78682621
1/2/13,SOUTHERN,-122.3958483,37.78132105
1/2/13,RICHMOND,-122.4981171,37.77255411
1/2/13,MISSION,-122.4218864,37.76491789
1/2/13,SOUTHERN,-122.4129968,37.77385198
1/2/13,TENDERLOIN,-122.4140563,37.78279311
1/2/13,MISSION,-122.4147026,37.76046018
1/2/13,NORTHERN,-122.4229634,37.77691828
1/2/13,NORTHERN,-122.4229634,37.77691828
